run_id,seed,model_id,feature_set,algorithm,n_features,cv_auc_roc,best_params_json,auc_roc,auc_pr,accuracy,precision,recall,specificity,f1,mcc,brier_score
13,55,Model_B_catboost,B,catboost,33,0.8636191689882965,"{""depth"": 4, ""iterations"": 275, ""l2_leaf_reg"": 9.72774142639306, ""learning_rate"": 0.11271598821026552}",0.8299418604651163,0.7017051727216738,0.7698412698412699,0.6774193548387096,0.525,0.8837209302325582,0.5915492957746479,0.44173666682844565,0.1510917469377848
13,55,Model_B_lightgbm,B,lightgbm,33,0.8724483388912919,"{""colsample_bytree"": 0.6220584325109204, ""learning_rate"": 0.02776033519820227, ""min_child_samples"": 22, ""n_estimators"": 366, ""num_leaves"": 138, ""reg_alpha"": 2.191062321959744, ""reg_lambda"": 1.5709173722025256, ""subsample"": 0.766763783757044}",0.8136627906976744,0.7119294100005275,0.746031746031746,0.5952380952380952,0.625,0.8023255813953488,0.6097560975609756,0.4219624693991106,0.1604118683197989
13,55,Model_B_random_forest,B,random_forest,33,0.8575422350590136,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 20, ""n_estimators"": 163}",0.8616279069767442,0.7720700590256383,0.8015873015873016,0.6470588235294118,0.825,0.7906976744186046,0.7252747252747253,0.5838899695833345,0.15101960341668388
13,55,Model_B_xgboost,B,xgboost,33,0.8566310244162594,"{""colsample_bytree"": 0.8670093781562878, ""gamma"": 0.4610072920286027, ""learning_rate"": 0.09556975447185204, ""max_depth"": 10, ""min_child_weight"": 2, ""n_estimators"": 107, ""scale_pos_weight"": 4.70956952336599, ""subsample"": 0.9321971407576551}",0.7851744186046511,0.6843165606506211,0.7063492063492064,0.5294117647058824,0.675,0.7209302325581395,0.5934065934065934,0.37547598610599703,0.19277824310279765
14,56,Model_A_catboost,A,catboost,20,0.8745112562226656,"{""depth"": 4, ""iterations"": 228, ""l2_leaf_reg"": 7.907946203220014, ""learning_rate"": 0.056686855490559296}",0.8186046511627907,0.6971618146885962,0.7936507936507936,0.71875,0.575,0.8953488372093024,0.6388888888888888,0.5029911919345907,0.15691152142968268
14,56,Model_A_lightgbm,A,lightgbm,20,0.8674938490374733,"{""colsample_bytree"": 0.6262421975057377, ""learning_rate"": 0.26531217337061686, ""min_child_samples"": 38, ""n_estimators"": 179, ""num_leaves"": 50, ""reg_alpha"": 4.501696835844306, ""reg_lambda"": 1.997805252290489, ""subsample"": 0.8218864296599421}",0.8524709302325582,0.7599218181733249,0.8015873015873016,0.6829268292682927,0.7,0.8488372093023255,0.691358024691358,0.5452822709354272,0.1328140788956073
14,56,Model_A_random_forest,A,random_forest,20,0.8706980082819009,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 13, ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 215}",0.859593023255814,0.7696441980296982,0.8253968253968254,0.7368421052631579,0.7,0.8837209302325582,0.717948717948718,0.5920404128525779,0.13452879064388504
14,56,Model_A_xgboost,A,xgboost,20,0.8459641236486874,"{""colsample_bytree"": 0.905552561256148, ""gamma"": 0.4790700603355984, ""learning_rate"": 0.011732287413678493, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 82, ""scale_pos_weight"": 1.467873378415131, ""subsample"": 0.6288906098730697}",0.8630813953488371,0.7669722347307572,0.746031746031746,0.5645161290322581,0.875,0.686046511627907,0.6862745098039216,0.5223868740984096,0.19705892199271233
14,56,Model_B_catboost,B,catboost,33,0.8675777610341369,"{""depth"": 4, ""iterations"": 457, ""l2_leaf_reg"": 2.543636753171094, ""learning_rate"": 0.010540269501680077}",0.8438953488372093,0.7461687329311584,0.8015873015873016,0.6744186046511628,0.725,0.8372093023255814,0.6987951807228916,0.551955384630907,0.14118003949065772
14,56,Model_B_lightgbm,B,lightgbm,33,0.8663820635297145,"{""colsample_bytree"": 0.9989998677575119, ""learning_rate"": 0.11237391643694888, ""min_child_samples"": 28, ""n_estimators"": 62, ""num_leaves"": 40, ""reg_alpha"": 4.905098379909625, ""reg_lambda"": 4.731645627629071, ""subsample"": 0.8943977840752912}",0.826889534883721,0.7371061913773715,0.7777777777777778,0.6304347826086957,0.725,0.8023255813953488,0.6744186046511628,0.5098402895310651,0.15590247343141897
14,56,Model_B_random_forest,B,random_forest,33,0.8564182406464286,"{""class_weight"": null, ""max_depth"": 12, ""min_samples_leaf"": 10, ""min_samples_split"": 5, ""n_estimators"": 70}",0.8537790697674419,0.7453942066804013,0.7857142857142857,0.6140350877192983,0.875,0.7441860465116279,0.7216494845360825,0.5790797909522378,0.1619372902046634
14,56,Model_B_xgboost,B,xgboost,33,0.8517180060804221,"{""colsample_bytree"": 0.6787506836611599, ""gamma"": 0.24597128765475046, ""learning_rate"": 0.17468096727398008, ""max_depth"": 8, ""min_child_weight"": 2, ""n_estimators"": 462, ""scale_pos_weight"": 4.929603374982011, ""subsample"": 0.9414011444108046}",0.7738372093023256,0.683858935891059,0.6825396825396826,0.5,0.575,0.7325581395348837,0.5348837209302325,0.2973599924607866,0.21141949670557555
15,57,Model_A_catboost,A,catboost,20,0.8969630446140513,"{""depth"": 6, ""iterations"": 121, ""l2_leaf_reg"": 8.788828105517915, ""learning_rate"": 0.10424282450997005}",0.8061046511627906,0.6927036813562932,0.7619047619047619,0.6785714285714286,0.475,0.8953488372093024,0.5588235294117647,0.4146657381778782,0.16706304313316836
15,57,Model_A_lightgbm,A,lightgbm,20,0.8696745919900282,"{""colsample_bytree"": 0.8900976846956132, ""learning_rate"": 0.11361414455762907, ""min_child_samples"": 22, ""n_estimators"": 86, ""num_leaves"": 64, ""reg_alpha"": 4.447535383050798, ""reg_lambda"": 2.6370068108111058, ""subsample"": 0.969352503815033}",0.8549418604651163,0.7572324420561599,0.8333333333333334,0.7435897435897436,0.725,0.8837209302325582,0.7341772151898734,0.612922446246324,0.13482977530570375
15,57,Model_A_random_forest,A,random_forest,20,0.8757296274074797,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 301}",0.8668604651162791,0.7968464141329348,0.8333333333333334,0.7317073170731707,0.75,0.872093023255814,0.7407407407407407,0.6180635909967236,0.13504110527170643
15,57,Model_A_xgboost,A,xgboost,20,0.8490553020754363,"{""colsample_bytree"": 0.7831239342348105, ""gamma"": 0.3501544290589352, ""learning_rate"": 0.039550804459734856, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 151, ""scale_pos_weight"": 2.619246556236298, ""subsample"": 0.6503649550586335}",0.8421511627906977,0.7382541050498777,0.7380952380952381,0.559322033898305,0.825,0.6976744186046512,0.6666666666666666,0.4875813201943546,0.16954254016949336
15,57,Model_B_catboost,B,catboost,33,0.8786748803527327,"{""depth"": 4, ""iterations"": 54, ""l2_leaf_reg"": 8.051818841264136, ""learning_rate"": 0.021862984399306812}",0.8693313953488372,0.7542194794468106,0.7857142857142857,0.6226415094339622,0.825,0.7674418604651163,0.7096774193548387,0.5586317219623382,0.1539025907198099
15,57,Model_B_lightgbm,B,lightgbm,33,0.8746593134177026,"{""colsample_bytree"": 0.8658941518678694, ""learning_rate"": 0.27886397403434293, ""min_child_samples"": 36, ""n_estimators"": 399, ""num_leaves"": 57, ""reg_alpha"": 0.6728415722532533, ""reg_lambda"": 2.473314222977497, ""subsample"": 0.71442513766214}",0.7593023255813954,0.6701013114488316,0.7301587301587301,0.5789473684210527,0.55,0.813953488372093,0.5641025641025641,0.36914073550369897,0.1948103233169037
15,57,Model_B_random_forest,B,random_forest,33,0.8626982687385372,"{""class_weight"": null, ""max_depth"": 7, ""min_samples_leaf"": 9, ""min_samples_split"": 18, ""n_estimators"": 343}",0.8642441860465117,0.7704107134247696,0.7857142857142857,0.6140350877192983,0.875,0.7441860465116279,0.7216494845360825,0.5790797909522378,0.1629026297319936
